floor,brand,name,product_code,matched_name,matched_brand,match_status,match_method,match_score,image,url
2F,CASSINA,Tabouret Berger - Natural Oak,,Tabouret Berger - Natural Oak,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/5ef1013581716f5b63019d8b2bc1bc03.jpg,https://inscale.co.kr/product/tabouret-berger-natural-oak/478/category/87/display/1/
2F,CASSINA,"Tabouret Berger - 
Oak Stained Black",,Tabouret Berger - Oak Stained Black,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/36d23d8eca25f9cf18335a10c29ea5de.jpg,https://inscale.co.kr/product/tabouret-berger-oak-stained-black/477/category/87/display/1/
2F,CASSINA,Reaction Poetique,,Reaction Poetique,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/04295f3648ccfae88995e81724a2de28.jpg,https://inscale.co.kr/product/reaction-poetique/463/category/87/display/1/
2F,CASSINA,"10 Table en tube basse 
(Grand Modele)",,10 Table en tube basse,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202312/580f705ad72f4bb2c7f375f71fc9e81b.jpg,https://inscale.co.kr/product/10-table-en-tube-basse/457/category/87/display/1/
2F,CASSINA,Sahara - Grid,,Sahara - Grid,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/2a6908f9ab2376152b7d668d2486128e.jpg,https://inscale.co.kr/product/sahara-grid/452/category/87/display/1/
2F,CASSINA,[60th Limited Edition] LC2 Blu,,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202606/b0d9f2d28fc35168af799e438e3122d4.jpg,https://inscale.co.kr/product/detail.html?product_no=855
2F,CASSINA,Sestiere - Sea teal / Carrot,,Sestiere - Sea teal / Carrot,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202312/63201542e62e430e7456fb0c2fddbe68.jpg,https://inscale.co.kr/product/sestiere/488/category/87/display/1/
2F,CASSINA,Constantin,,Constantin,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/94d3daedd8610c788b2f1155cf76fd73.jpg,https://inscale.co.kr/product/constantin/460/category/87/display/1/
2F,CASSINA,Bramante,,Bramante,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/bfdcd176837677a8c8980ad86e05ed7f.jpg,https://inscale.co.kr/product/bramante/459/category/87/display/1/
2F,CASSINA,"Ficupala Floor Lamp
Taupe grey Glass",,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202606/cf611bf1251538db9073cb06dd9c2c17.jpg,https://inscale.co.kr/product/detail.html?product_no=854
2F,CASSINA,Cornaro - 2 seater - Crema,,Cornaro - 2 seater - Crema,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202510/da104611cd761df21c21dd2cd56120ac.jpg,https://inscale.co.kr/product/cornaro-2-seater/702/category/87/display/1/
2F,CASSINA,"CORNARO ARMCHAIR -
Pinot Noir",,CORNARO ARMCHAIR - Pinot Noir,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202409/c1caef306f8a2388c6c6eb88170c8811.jpg,https://inscale.co.kr/product/cornaro-armchair/689/category/87/display/1/
2F,CASSINA,Nuvola Rossa,,Nuvola Rossa,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/2156313c9b305870a4fa3ebf914a1028.jpg,https://inscale.co.kr/product/nuvola-rossa/464/category/87/display/1/
2F,CASSINA,LC1,,LC1,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202309/deff3254f67d99bb80c277829cbf40b5.jpg,https://inscale.co.kr/product/lc1/384/category/87/display/1/
2F,CASSINA,944 Soriana - 3 Seater Sofa(Blu),,944 Soriana - 3 Seater Sofa,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202606/e61bd0ed5879e7b31a8be05b8f4dcae4.jpg,https://inscale.co.kr/product/detail.html?product_no=772
2F,CASSINA,Bowy Table,,Bowy Table,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202312/9fe33338abb67caf183468cc9d93481c.jpg,https://inscale.co.kr/product/bowy-table/553/category/87/display/1/
2F,CASSINA,LC14 - Tabourets Cabanon,,LC14 - Tabourets Cabanon,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202606/a68d80924ce4277f7bba0986bbcb1bc5.jpg,https://inscale.co.kr/product/detail.html?product_no=839
2F,CASSINA,"LC14 - 
Tabourets Maison du Brésil",,LC14 - Tabourets Maison du Brésil,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202606/71068d9e884684fbcedbc66e5109f12b.jpg,https://inscale.co.kr/product/detail.html?product_no=840
2F,CASSINA,ATACAMA 3,,ATACAMA 3,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/4616d1d07dba2e7187ebafaa7db596f3.jpg,https://inscale.co.kr/product/atacama-3/454/category/87/display/1/
2F,CASSINA,Capitol Complex Table,,Capitol Complex Table,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/0a80d4204c1d272907d5f6f7d19ca803.jpg,https://inscale.co.kr/product/capitol-complex-table/458/category/87/display/1/#none
2F,CASSINA,Bollicosa Small - Shiny rose gold,,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202410/f414a7a50d3903c00694a8849b4d0a7d.jpg,https://inscale.co.kr/product/bollicosa-small/660/category/87/display/1/
2F,CASSINA,Capitol Complex Office Chair,,Capitol Complex Office Chair,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/7965073f5591e35a38240606efac0201.jpg,https://inscale.co.kr/product/capitol-complex-office-chair/468/category/87/display/1/
2F,CASSINA,Capitol Complex Chair,,Capitol Complex Chair,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/4875a30f3819732109766cbdeb599fd0.jpg,https://inscale.co.kr/product/capitol-complex-chair/467/category/87/display/1/
2F,CASSINA,Sahara - Drop,,Sahara - Drop,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/7b18cb214d21e92a5cfc74ba6a1b8c22.jpg,https://inscale.co.kr/product/sahara-drop/453/category/87/display/1/
2F,CASSINA,SAHARA - Oval,,Sahara - Oval,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202606/3be78a38db8054562aba037fa0849870.jpg,https://inscale.co.kr/product/detail.html?product_no=804
2F,CASSINA,LC20 Casier,,LC20 Casier,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202312/a86d86b076565943e21b74ec494a2865.jpg,https://inscale.co.kr/product/lc20-casier/514/category/116/display/1/
2F,CASSINA x KARAKTER,Lungangolo Bookshelf - Black oiled oak,,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202606/8915153dab421b488e8d079063ed4718.jpg,https://inscale.co.kr/product/lungangolo-bookshelf-black-oiled-oak/801/category/110/display/1/
